nconst,primaryName,primaryProfession,knownForTitles
nm0000286,Stephen Baldwin,"actor,producer,director","tt0114814,tt0115683,tt0158622,tt0486583"
nm0000287,William Baldwin,"actor,producer,stunts","tt0113010,tt0108162,tt0101393,tt0367089"
nm0000288,Christian Bale,"actor,editorial_department,producer","tt1800241,tt0468569,tt6266538,tt0372784"
nm0000289,Ellen Barkin,"actress,producer","tt0116277,tt0108330,tt0098273,tt0157503"
nm0000290,John Barry,"music_department,soundtrack,composer","tt0089755,tt0099348,tt0111255,tt0093428"
nm0000291,Angela Bassett,"actress,producer,director","tt0114558,tt0118884,tt1825683,tt2302755"
nm0000293,Sean Bean,"actor,producer,animation_department","tt1181791,tt0120737,tt0944947,tt1617661"
nm0000295,Kate Beckinsale,"actress,soundtrack","tt0401855,tt0320691,tt0213149,tt0452702"
nm0000297,Tom Berenger,"actor,producer,writer","tt0097815,tt0091763,tt1433108,tt1375666"
nm0000298,Candice Bergen,"actress,producer,soundtrack","tt0901476,tt0256415,tt0212346,tt0094514"
nm0000299,Michael Biehn,"actor,producer,director","tt1077258,tt0088247,tt0108358,tt0090605"
nm0000300,Juliette Binoche,"actress,art_department,miscellaneous","tt0108394,tt0241303,tt0116209,tt1219827"
nm0000302,Jacqueline Bisset,"actress,producer","tt0062765,tt0077636,tt0421054,tt0071877"
nm0000303,Honor Blackman,"actress,soundtrack","tt0054518,tt0057197,tt0243155,tt0058150"
nm0000304,Linda Blair,"actress,soundtrack,producer","tt0076009,tt0082511,tt0070047,tt0088044"
nm0000305,Mel Blanc,"actor,soundtrack,music_department","tt0096438,tt0094939,tt0038576,tt0077278"
